id	title	creator	pubd	pages	bc
in.ernet.dli.2015.364816	ಜಾರುವ ದಾರಿಯಲ್ಲಿ	ಶಿವರಾಮ ಕಾರಂತ	1952-01-01T00:00:00Z	379	2030020028422
in.ernet.dli.2015.364817	ಆನಂದ ಸಾಮ್ರಾಜ್ಯ	ಮೂಗೂರು ಹನುಮಂತಾಚಾರ್ಯ‍	1930-01-01T00:00:00Z	132	2030020028423
in.ernet.dli.2015.364818	ಧಾರವಾಡದ ಹುಡುಗಿ	‍ಎಂ. ಹರಿದಾಸರಾವ್	1950-01-01T00:00:00Z	123	2030020028426
in.ernet.dli.2015.364819	ಪರಿಣಾಮ	ಮುರಲಿ	1940-01-01T00:00:00Z	185	2030020028427
in.ernet.dli.2015.364820	ಕಾರಣಪುರುಷ	ರಂ. ಶ್ರೀ. ಮುರಳಿ	1941-01-01T00:00:00Z	209	2030020028428
in.ernet.dli.2015.364821	ದೇಶಾಂತರದ ಕತೆಗಳು	ದೇವುಡು	1942-01-01T00:00:00Z	132	2030020027434
in.ernet.dli.2015.364822	ನರಗುಂದದ ಬಂಡಾಯ	ದಾ. ಡಿ. ಎಸ್. ಕರ್ಕಿ	1930-01-01T00:00:00Z	169	2030020028429
in.ernet.dli.2015.364823	ಚಂದ್ರಕಾಂತ	ಭಿ. ಪ. ಕಾಳೆ	1943-01-01T00:00:00Z	127	2030020028430
in.ernet.dli.2015.364824	ಮೋಜಿನ ಜೀವನ ಮೋಹನ	ಡಿ. ವಾಸುದೇವಾಚಾರ್ಯ	1935-01-01T00:00:00Z	234	2030020028431
in.ernet.dli.2015.364825	ಭೀಷಣ ಸಾಹಸ	ಎಸ್ ಮುಕುಂದರಾವ್	1940-01-01T00:00:00Z	191	2030020028432
in.ernet.dli.2015.364826	ಅಂತಿಮ ವಿಜಯ ೬	ಶ್ರೀರಂಗ	1945-01-01T00:00:00Z	70	2030020028433
in.ernet.dli.2015.364827	ಕಟ್ಟೆ ಪೂಜೆ	ರಾಜನ್ ಎಂ. ಎ. ಎಸ್.	1955-01-01T00:00:00Z	280	2030020028434
in.ernet.dli.2015.364828	ಎರಡು ಧೃವ ಭಾಗ ೧	ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ	1937-01-01T00:00:00Z	212	2030020028435
in.ernet.dli.2015.364829	ಹೂವಿನ ಹಾಸಿಗೆ	ಶ್ರೀಪತಿ	1943-01-01T00:00:00Z	149	2030020028436
in.ernet.dli.2015.364830	ಬಾಣನ ಕಾದಂಬರೀ	ಗಂಗಾಧರ ಮಡಿವಾಳೇಶ್ವರ	1926-01-01T00:00:00Z	151	2030020028437
in.ernet.dli.2015.364831	ಇಜ್ಜೋಡು ಭಾಗ ೧	ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ	1935-01-01T00:00:00Z	147	2030020028438
in.ernet.dli.2015.364832	ಇತರ ಕಥೆಗಳು	ಆರ್. ಕೆ. ನಾರಾಯಣ	1946-01-01T00:00:00Z	79	2030020027435
in.ernet.dli.2015.364833	ವಿಷಕುಂಭ	ಎಸ್. ಆರ್. ಶರ್ಮ	1927-01-01T00:00:00Z	45	2030020028440
in.ernet.dli.2015.364834	ಪರೀಕ್ಷೆ	ಇಂದೀರಾಬಾಯಿ	1952-01-01T00:00:00Z	242	2030020028441
in.ernet.dli.2015.364835	ಫಿರಂಗಿಗಳ ಉತ್ಪಾತ	‍ಭಿ. ಪ. ಕಾಳೆ	1930-01-01T00:00:00Z	194	2030020028442
